student_id,name,marks
101,Rahul,78




102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91

102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91

102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91


102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91

102,Amit,abc
103,Vikram,45
104,Priya,88
105,Neha,67
106,Anjali,91
102,Amit,abc
103,Vikram,45
104,Priya,88
